onetCode,occupation,education,source
29-1024.00,Prosthodontists,Doctoral or professional degree,BLS Data
29-1029.00,Dentists All Other Specialists,Doctoral or professional degree,BLS Data
29-1031.00,Dietitians and Nutritionists,Bachelor's degree,BLS Data
29-1041.00,Optometrists,Doctoral or professional degree,BLS Data
29-1051.00,Pharmacists,Doctoral or professional degree,BLS Data
29-1071.00,Physician Assistants,Master's degree,BLS Data
29-1071.01,Anesthesiologist Assistants,Master's degree,BLS Data
29-1081.00,Podiatrists,Doctoral or professional degree,BLS Data
29-1122.00,Occupational Therapists,Master's degree,BLS Data
29-1122.01,Low Vision Therapists Orientation and Mobility Specialists and Vision Rehabilitation Therapists,Master's degree,BLS Data
29-1123.00,Physical Therapists,Doctoral or professional degree,BLS Data
29-1125.00,Recreational Therapists,Bachelor's degree,BLS Data
29-1127.00,Speech-Language Pathologists,Master's degree,BLS Data
29-1128.00,Exercise Physiologists,Bachelor's degree,BLS Data
29-1129.00,Therapists All Other,Bachelor's degree,BLS Data
29-1129.01,Art Therapists,Bachelor's degree,BLS Data
29-1129.02,Music Therapists,Bachelor's degree,BLS Data
29-1131.00,Veterinarians,Doctoral or professional degree,BLS Data
29-1141.00,Registered Nurses,Bachelor's degree,BLS Data
29-1141.01,Acute Care Nurses,Bachelor's degree,BLS Data
29-1141.02,Advanced Practice Psychiatric Nurses,Bachelor's degree,BLS Data
29-1141.03,Critical Care Nurses,Bachelor's degree,BLS Data
29-1141.04,Clinical Nurse Specialists,Bachelor's degree,BLS Data
29-1151.00,Nurse Anesthetists,Master's degree,BLS Data
29-1161.00,Nurse Midwives,Master's degree,BLS Data
29-1171.00,Nurse Practitioners,Master's degree,BLS Data
29-1181.00,Audiologists,Doctoral or professional degree,BLS Data
29-1211.00,Anesthesiologists,Doctoral or professional degree,BLS Data
29-1212.00,Cardiologists,Doctoral or professional degree,BLS Data
29-1213.00,Dermatologists,Doctoral or professional degree,BLS Data
29-1214.00,Emergency Medicine Physicians,Doctoral or professional degree,BLS Data
29-1215.00,Family Medicine Physicians,Doctoral or professional degree,BLS Data
29-1216.00,General Internal Medicine Physicians,Doctoral or professional degree,BLS Data
29-1217.00,Neurologists,Doctoral or professional degree,BLS Data
29-1218.00,Obstetricians and Gynecologists,Doctoral or professional degree,BLS Data
29-1221.00,Pediatricians General,Doctoral or professional degree,BLS Data
29-1222.00,Physicians Pathologists,Doctoral or professional degree,BLS Data
29-1223.00,Psychiatrists,Doctoral or professional degree,BLS Data
29-1224.00,Radiologists,Doctoral or professional degree,BLS Data
29-1229.00,Physicians All Other,Doctoral or professional degree,BLS Data
29-1229.01,Allergists and Immunologists,Doctoral or professional degree,BLS Data
29-1229.02,Hospitalists,Doctoral or professional degree,BLS Data
29-1229.03,Urologists,Doctoral or professional degree,BLS Data
29-1229.04,Physical Medicine and Rehabilitation Physicians,Doctoral or professional degree,BLS Data
29-1229.05,Preventive Medicine Physicians,Doctoral or professional degree,BLS Data
29-1229.06,Sports Medicine Physicians,Doctoral or professional degree,BLS Data
29-1241.00,Ophthalmologists Except Pediatric,Doctoral or professional degree,BLS Data
29-1242.00,Orthopedic Surgeons Except Pediatric,Doctoral or professional degree,BLS Data
29-1243.00,Pediatric Surgeons,Doctoral or professional degree,BLS Data
29-1249.00,Surgeons All Other,Doctoral or professional degree,BLS Data
29-1291.00,Acupuncturists,Master's degree,BLS Data
29-1299.00,Healthcare Diagnosing or Treating Practitioners All Other,Master's degree,BLS Data
29-1299.01,Naturopathic Physicians,Master's degree,BLS Data
29-1299.02,Orthoptists,Master's degree,BLS Data
29-2011.00,Medical and Clinical Laboratory Technologists,Bachelor's degree,SOC Broad Occupation Group
29-2011.01,Cytogenetic Technologists,Bachelor's degree,SOC Broad Occupation Group
29-2011.02,Cytotechnologists,Bachelor's degree,SOC Broad Occupation Group
29-2011.04,Histotechnologists,Bachelor's degree,SOC Broad Occupation Group
29-2012.00,Medical and Clinical Laboratory Technicians,Bachelor's degree,SOC Broad Occupation Group
29-2012.01,Histology Technicians,Bachelor's degree,SOC Broad Occupation Group
29-2036.00,Medical Dosimetrists,Bachelor's degree,BLS Data
29-2091.00,Orthotists and Prosthetists,Master's degree,BLS Data
29-9091.00,Athletic Trainers,Master's degree,BLS Data
29-9092.00,Genetic Counselors,Master's degree,BLS Data
33-3031.00,Fish and Game Wardens,Bachelor's degree,BLS Data
41-3031.00,Securities Commodities and Financial Services Sales Agents,Bachelor's degree,BLS Data
41-4011.00,Sales Representatives Wholesale and Manufacturing Technical and Scientific Products,Bachelor's degree,BLS Data
41-4011.07,Solar Sales Representatives and Assessors,Bachelor's degree,BLS Data
41-9031.00,Sales Engineers,Bachelor's degree,BLS Data
43-9081.00,Proofreaders and Copy Markers,Bachelor's degree,BLS Data
43-9111.00,Statistical Assistants,Bachelor's degree,BLS Data
45-2011.00,Agricultural Inspectors,Bachelor's degree,BLS Data
